INDEX_,HOUR,DAYOFWEEK,VISIBILITY,LIGHT,RDSFCOND,TEMP,REL_HUMID,LOCCOORD,TRAFFCTL,ROADCLASS,SPEEDLMT,VEH_ADT,PED_ADT,LAND_USE,POP_2021,PRIV_DWELL,LAND_AREA,INVAGE,PEDCOND,PEDACT,VEHINV,VIOL,INJURY
81163374,8,weekday,Clear,Daylight,Dry,6.2,0.83,Midblock,No Control,Major Arterial,50,869.0,32.0,Parks,395,171,146,Under 15,Normal,Crossing with ROW and no control,automobile,speeding,Major
81240301,11,weekday,Clear,Daylight,Dry,10.8,0.57,Intersection,Traffic Signal including Transit,Major Arterial,50,703.0,533.0,Other Open Space,1513,1130,964,45 to 64,Medical or Physical Disability,Crossing without ROW,automobile,aggressive driving,Major
81513261,1,weekend,Clear,Dark,Dry,5.1,0.49,Intersection,Traffic Signal including Transit,Major Arterial,50,457.0,425.0,Residential,805,599,503,15 to 29,Normal,Other,automobile,speeding,Major
81163701,8,weekday,Clear,Daylight,Dry,7.4,0.43,Midblock,No Control,Major Arterial,50,507.0,37.0,Residential,1604,770,735,Over 65,Normal,Crossing with ROW and no control,automobile,speeding,Major
81240570,11,weekday,Clear,Daylight,Dry,15.7,0.52,Intersection,Other Traffic Control,Collector,40,354.0,392.0,Mixed Use,1212,1065,760,45 to 64,Normal,Other,automobile,speeding,Major
81238831,21,weekday,Rain,Dark,Wet,5.9,0.87,Intersection,Traffic Signal including Transit,Major Arterial,50,736.0,6.0,Unknown,457,279,265,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
81240683,16,weekday,Clear,Daylight,Dry,12.6,0.76,Midblock,No Control,Collector,40,176.0,2.0,Parks,428,148,144,Under 15,Normal,Other,automobile,speeding,Major
81238775,10,weekday,Clear,Daylight,Dry,7.0,0.6,Intersection,Traffic Signal including Transit,Major Arterial,50,964.0,617.0,Mixed Use,1648,1274,980,30 to 44,Fatigue,Crossing with ROW,automobile,speeding,Major
81240805,7,weekday,Clear,Daylight,Dry,5.2,0.77,Intersection,No Control,Local,40,403.0,0.0,Residential,1303,335,330,15 to 29,Distracted,Crossing without ROW,transit vehicle,speeding,Major
81240719,16,weekday,Rain,Daylight,Wet,7.7,0.84,Intersection,Traffic Signal including Transit,Major Arterial,50,467.0,42.0,Parks,1659,455,436,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
81513298,17,weekday,Clear,Daylight,Dry,7.8,0.75,Intersection,Traffic Signal including Transit,Major Arterial,50,1015.0,17.0,Commercial,366,108,107,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
81240419,17,weekday,Clear,Daylight,Dry,7.8,0.75,Intersection,Traffic Signal including Transit,Major Arterial,50,566.0,15.0,Mixed Use,690,285,267,15 to 29,Normal,Crossing with ROW,automobile,speeding,Major
81242204,20,weekend,Rain,Dark,Wet,5.6,0.87,Intersection,Traffic Signal including Transit,Major Arterial,50,297.0,76.0,Parks,144,1,0,15 to 29,Normal,Other,automobile,speeding,Major
81241067,11,weekend,Clear,Daylight,Dry,15.9,0.56,Intersection,Traffic Signal including Transit,Major Arterial,50,424.0,140.0,Residential,1094,613,551,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
81241881,9,weekday,Clear,Daylight,Dry,17.3,0.59,Intersection,Traffic Signal including Transit,Minor Arterial,50,275.0,123.0,Parks,2650,1935,1676,30 to 44,Distracted,Crossing without ROW,transit vehicle,speeding,Major
81262548,11,weekday,Clear,Daylight,Dry,16.4,0.41,Intersection,Traffic Signal including Transit,Major Arterial,50,365.0,91.0,Regeneration,520,176,170,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
81241571,14,weekday,Clear,Daylight,Dry,14.0,0.42,Intersection,No Control,Major Arterial,50,146.0,27.0,Regeneration,2262,1615,1448,45 to 64,Distracted,Crossing with ROW and no control,truck,speeding,Major
81329633,17,weekday,Clear,Daylight,Dry,24.2,0.35,Intersection,Pedestrian Crossover,Major Arterial,50,189.0,53.0,Mixed Use,2230,1445,1330,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
81475717,19,weekend,Clear,Daylight,Dry,20.4,0.36,Intersection,Traffic Signal including Transit,Minor Arterial,50,468.0,11.0,Mixed Use,1981,1195,1112,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
81262296,12,weekend,Clear,Daylight,Dry,18.8,0.29,Intersection,Traffic Signal including Transit,Minor Arterial,50,173.0,18.0,Parks,772,441,410,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
81242423,15,weekday,Clear,Daylight,Dry,17.2,0.31,Intersection,Traffic Signal including Transit,Major Arterial,50,383.0,19.0,Residential,459,160,156,Under 15,Normal,Crossing without ROW,automobile,speeding,Major
81242424,15,weekday,Clear,Daylight,Dry,17.2,0.31,Intersection,Traffic Signal including Transit,Major Arterial,50,383.0,19.0,Residential,459,160,156,Under 15,Normal,Crossing without ROW,automobile,speeding,Major
81270433,16,weekday,Clear,Daylight,Dry,17.3,0.32,Intersection,No Control,Major Arterial,50,683.0,3.0,Parks,1254,388,373,45 to 64,Normal,Crossing with ROW and no control,automobile,speeding,Major
81271047,15,weekday,Clear,Daylight,Dry,20.5,0.45,Intersection,Traffic Signal including Transit,Minor Arterial,50,918.0,89.0,Residential,1837,932,871,Over 65,Distracted,Crossing with ROW and no control,automobile,speeding,Major
81270237,19,weekday,Clear,Daylight,Dry,22.2,0.38,Midblock,No Control,Major Arterial,50,613.0,157.0,Residential,747,341,330,45 to 64,Normal,Crossing with ROW and no control,automobile,speeding,Major
81270560,20,weekday,Clear,Dusk,Dry,21.7,0.41,Intersection,Traffic Signal including Transit,Major Arterial,50,705.0,28.0,Residential,1036,330,321,30 to 44,Normal,Crossing with ROW,automobile,aggressive driving,Major
81269788,13,weekday,Clear,Daylight,Dry,20.9,0.33,Intersection,No Control,Major Arterial,50,418.0,2.0,Residential,814,348,325,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
81269816,23,weekday,Clear,Dark,Dry,14.2,0.52,Intersection,Traffic Signal including Transit,Major Arterial,50,543.0,64.0,Residential,332,134,124,Over 65,Impaired - Alcohol (BAC > 0.08),Crossing without ROW,automobile,speeding,Major
81270074,17,weekday,Clear,Daylight,Dry,18.9,0.35,Intersection,No Control,Major Arterial,50,254.0,6.0,Mixed Use,454,212,195,15 to 29,Normal,Crossing with ROW and no control,automobile,aggressive driving,Major
81270075,17,weekday,Clear,Daylight,Dry,18.9,0.35,Intersection,No Control,Major Arterial,50,254.0,6.0,Mixed Use,454,212,195,45 to 64,Normal,Crossing with ROW and no control,automobile,aggressive driving,Minor
81511176,19,weekday,Clear,Daylight,Dry,14.7,0.82,Intersection,No Control,Major Arterial,50,329.0,73.0,Residential,676,271,258,Over 65,Normal,Crossing with ROW and no control,automobile,aggressive driving,Major
81431666,13,weekday,Clear,Daylight,Dry,21.3,0.68,Intersection,Traffic Signal including Transit,Major Arterial,50,190.0,35.0,Mixed Use,3894,2195,1944,30 to 44,Normal,Other,automobile,speeding,Fatal
81452212,20,weekday,Rain,Dark,Wet,22.7,0.68,Intersection,Traffic Signal including Transit,Major Arterial,50,455.0,21.0,Residential,1373,453,432,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
81510257,5,weekday,Clear,Dark,Dry,21.8,0.79,Intersection,Traffic Signal including Transit,Major Arterial,50,1089.0,32.0,Natural areas,721,225,219,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
81426229,17,weekday,Clear,Dark,Dry,-5.5,0.5,Intersection,Traffic Signal including Transit,Major Arterial,50,1170.0,62.0,Mixed Use,659,285,271,30 to 44,Normal,Crossing with ROW,automobile,aggressive driving,Major
81334514,16,weekday,Clear,Daylight,Dry,20.4,0.76,Intersection,Traffic Signal including Transit,Expressway,110,453.0,72.0,Unknown,1549,1107,979,45 to 64,Normal,Crossing with ROW,automobile,speeding,Major
81332759,0,weekday,Clear,Dark,Dry,16.6,0.75,Midblock,No Control,Major Arterial,50,394.0,91.0,Mixed Use,3548,2858,2214,30 to 44,Distracted,Crossing with ROW and no control,automobile,speeding,Major
81332832,20,weekday,Clear,Daylight,Dry,17.3,0.63,Intersection,Other Traffic Control,Major Arterial,50,699.0,16.0,Residential,998,413,398,45 to 64,Normal,Crossing with ROW and no control,automobile,speeding,Fatal
81333974,14,weekend,Clear,Daylight,Dry,26.0,0.47,Midblock,No Control,Major Arterial,50,677.0,11.0,Residential,587,179,168,15 to 29,Impaired - Alcohol (BAC = Normal),Crossing without ROW,transit vehicle,speeding,Major
81332835,20,weekday,Clear,Dusk,Dry,19.0,0.58,Midblock,No Control,Minor Arterial,50,174.0,2.0,Other Open Space,2432,886,837,15 to 29,Distracted,Crossing with ROW and no control,automobile,speeding,Fatal
81332837,20,weekday,Clear,Dark,Dry,16.3,0.54,Intersection,No Control,Major Arterial,50,379.0,13.0,Parks,455,215,190,Over 65,Unknown,Crossing with ROW and no control,automobile,speeding,Fatal
81467550,9,weekday,Clear,Daylight,Wet,16.5,0.82,Midblock,No Control,Collector,40,309.0,167.0,Mixed Use,504,263,225,15 to 29,Normal,Other,automobile,speeding,Major
81333470,20,weekend,Clear,Daylight,Dry,13.6,0.61,Midblock,No Control,Major Arterial,50,448.0,1.0,Commercial,45,38,16,45 to 64,Unknown,Crossing with ROW and no control,automobile,speeding,Fatal
81470984,9,weekday,Clear,Daylight,Dry,9.2,0.6,Intersection,Traffic Signal including Transit,Major Arterial,50,433.0,54.0,Residential,498,222,209,30 to 44,Normal,Crossing with ROW,automobile,aggressive driving,Major
