INDEX_,HOUR,DAYOFWEEK,VISIBILITY,LIGHT,RDSFCOND,TEMP,REL_HUMID,LOCCOORD,TRAFFCTL,ROADCLASS,SPEEDLMT,VEH_ADT,PED_ADT,LAND_USE,POP_2021,PRIV_DWELL,LAND_AREA,INVAGE,PEDCOND,PEDACT,VEHINV,VIOL,INJURY
3366652,7,weekday,Other,Dark,Wet,1.5,0.99,Midblock,No Control,Major Arterial,60,498.0,219.0,Mixed Use,504,263,225,45 to 64,Distracted,Crossing without ROW,automobile,speeding,Major
3370334,19,weekday,Rain,Dark,Wet,4.8,1.0,Midblock,Traffic Signal including Transit,Major Arterial,60,351.0,63.0,Residential,452,205,183,Over 65,Normal,Crossing without ROW,automobile,speeding,Major
3363338,22,weekday,Clear,Dark,Dry,-5.8,0.67,Intersection,Traffic Signal including Transit,Major Arterial,60,650.0,50.0,Residential,807,375,322,15 to 29,Distracted,Crossing with ROW,automobile,speeding,Major
3363869,18,weekend,Clear,Dark,Dry,2.4,0.76,Intersection,Pedestrian Crossover,Major Arterial,60,437.0,8.0,Residential,907,315,305,Under 15,Normal,Crossing with ROW,automobile,aggressive driving,Fatal
3363416,14,weekday,Clear,Daylight,Dry,3.5,0.78,Intersection,Traffic Signal including Transit,Major Arterial,60,903.0,43.0,Residential,974,371,364,Over 65,Unknown,Crossing without ROW,automobile,speeding,Fatal
3370697,18,weekday,Clear,Dark,Dry,3.1,0.73,Intersection,Traffic Signal including Transit,Major Arterial,60,563.0,32.0,Residential,474,147,147,45 to 64,Distracted,Crossing without ROW,transit vehicle,speeding,Major
3364471,9,weekend,Strong wind,Daylight,Ice/Slush,-1.1,0.81,Midblock,Pedestrian Crossover,Major Arterial,60,369.0,5.0,Residential,402,148,140,Over 65,Normal,Crossing with ROW,automobile,speeding,Major
3372088,20,weekend,Clear,Dark,Dry,-4.9,0.55,Intersection,No Control,Major Arterial,60,414.0,15.0,Residential,489,255,230,15 to 29,Normal,Crossing with ROW and no control,automobile,speeding,Major
3372030,18,weekend,Clear,Dark,Dry,-9.5,0.62,Midblock,No Control,Major Arterial,60,538.0,33.0,Residential,642,256,249,45 to 64,Medical or Physical Disability,Crossing without ROW,automobile,speeding,Major
3373265,19,weekday,Rain,Dark,Wet,3.0,0.97,Intersection,Traffic Signal including Transit,Major Arterial,60,481.0,18.0,Residential,266,78,72,45 to 64,Normal,Crossing without ROW,automobile,speeding,Major
3372556,22,weekday,Rain,Dark,Wet,3.9,0.99,Intersection,Traffic Signal including Transit,Minor Arterial,60,294.0,19.0,Residential,1147,511,489,45 to 64,Medical or Physical Disability,Crossing with ROW,automobile,aggressive driving,Major
3532604,23,weekday,Rain,Dark,Wet,4.5,0.99,Midblock,No Control,Local,50,11.0,3.0,Residential,451,184,174,30 to 44,Unknown,Other,automobile,speeding,Major
3371160,18,weekend,Clear,Dusk,Dry,0.2,0.67,Intersection,No Control,Major Arterial,60,418.0,6.0,Residential,289,90,87,30 to 44,Normal,Crossing with ROW and no control,automobile,speeding,Major
3371161,18,weekend,Clear,Dusk,Dry,0.2,0.67,Intersection,No Control,Major Arterial,60,418.0,6.0,Residential,289,90,87,45 to 64,Normal,Crossing with ROW and no control,automobile,speeding,Fatal
3367199,2,weekend,Clear,Dark,Dry,-1.9,0.82,Midblock,No Control,Collector,50,112.0,4.0,Parks,724,267,257,15 to 29,Impaired - Alcohol (BAC = Normal),Other,automobile,aggressive driving,Major
3367249,18,weekend,Clear,Dark,Dry,1.7,0.76,Intersection,No Control,Major Arterial,60,272.0,204.0,Mixed Use,2596,2393,1653,Over 65,Normal,Crossing with ROW and no control,automobile,speeding,Major
3368259,7,weekday,Clear,Daylight,Wet,1.2,0.86,Intersection,Other Traffic Control,Collector,50,52.0,16.0,Parks,982,414,385,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Fatal
3373787,20,weekday,Clear,Dark,Dry,3.3,0.73,Intersection,No Control,Major Arterial,60,53.0,43.0,Residential,677,359,331,15 to 29,Normal,Crossing with ROW and no control,automobile,speeding,Major
3370087,20,weekend,Rain,Dark,Wet,5.8,0.99,Midblock,No Control,Expressway,110,723.0,1.0,Unknown,1719,268,255,15 to 29,Unknown,Crossing without ROW,automobile,speeding,Fatal
3378948,21,weekend,Rain,Dark,Wet,7.0,0.99,Intersection,Traffic Signal including Transit,Major Arterial,60,582.0,42.0,Residential,874,568,536,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3380670,7,weekday,Rain,Daylight,Wet,4.4,0.98,Intersection,Traffic Signal including Transit,Major Arterial,60,483.0,24.0,Residential,637,198,193,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
3551058,9,weekday,Rain,Daylight,Wet,4.8,0.98,Intersection,Traffic Signal including Transit,Major Arterial,60,957.0,38.0,Commercial,1840,768,737,Over 65,Normal,Crossing without ROW,automobile,aggressive driving,Major
3374272,13,weekday,Clear,Daylight,Dry,-1.6,0.62,Midblock,Pedestrian Crossover,Major Arterial,60,306.0,7.0,Residential,641,262,242,Over 65,Normal,Crossing with ROW,automobile,speeding,Major
3382291,7,weekday,Clear,Daylight,Dry,-7.5,0.74,Intersection,Other Traffic Control,Minor Arterial,60,160.0,26.0,Residential,501,183,175,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
3602930,15,weekday,Clear,Daylight,Dry,-5.7,0.57,Intersection,Traffic Signal including Transit,Major Arterial,60,714.0,17.0,Unknown,45,38,16,Over 65,Normal,Crossing without ROW,automobile,speeding,Major
3376285,9,weekday,Clear,Daylight,Dry,-3.7,0.68,Intersection,Other Traffic Control,Local,50,34.0,5.0,Residential,543,213,203,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
3376949,9,weekday,Clear,Daylight,Dry,5.4,0.67,Intersection,Other Traffic Control,Local,50,196.0,6.0,Residential,347,141,125,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Fatal
3385084,21,weekday,Rain,Dark,Wet,1.0,0.99,Midblock,No Control,Minor Arterial,60,194.0,32.0,Residential,643,345,301,30 to 44,Impaired - Alcohol (BAC = Normal),Other,automobile,aggressive driving,Major
3388769,15,weekend,Clear,Daylight,Dry,-7.0,0.52,Intersection,Traffic Signal including Transit,Major Arterial,60,376.0,19.0,Residential,716,296,202,15 to 29,Distracted,Crossing without ROW,automobile,speeding,Major
3378690,18,weekday,Clear,Dusk,Dry,-2.8,0.52,Midblock,No Control,Minor Arterial,60,385.0,31.0,Natural areas,1571,427,411,Over 65,Normal,Crossing with ROW and no control,automobile,speeding,Fatal
3382113,18,weekday,Clear,Dark,Dry,-0.7,0.51,Intersection,Other Traffic Control,Major Arterial,60,600.0,9.0,Residential,564,187,179,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3390000,13,weekday,Clear,Daylight,Dry,6.1,0.49,Intersection,Other Traffic Control,Major Arterial,60,462.0,4.0,Residential,483,209,195,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3380901,8,weekday,Clear,Daylight,Dry,-6.2,0.56,Intersection,Traffic Signal including Transit,Major Arterial,60,884.0,24.0,Commercial,838,281,279,30 to 44,Normal,Crossing without ROW,automobile,speeding,Major
3381354,15,weekend,Clear,Daylight,Dry,-2.8,0.66,Intersection,Traffic Signal including Transit,Major Arterial,60,536.0,69.0,Residential,983,580,499,45 to 64,Unknown,Crossing with ROW,automobile,aggressive driving,Major
3382084,5,weekday,Clear,Dark,Dry,-10.0,0.71,Midblock,No Control,Major Arterial,60,384.0,4.0,Regeneration,572,177,162,30 to 44,Unknown,Other,automobile,speeding,Fatal
3392503,17,weekday,Clear,Daylight,Dry,-3.4,0.59,Intersection,Pedestrian Crossover,Minor Arterial,60,212.0,53.0,Parks,2230,1445,1330,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
3387139,23,weekday,Clear,Dark,Dry,-5.0,0.66,Intersection,Traffic Signal including Transit,Major Arterial,60,905.0,50.0,Mixed Use,1996,709,672,Unknown,Unknown,Unknown,automobile,speeding,Minor
3387140,23,weekday,Clear,Dark,Dry,-5.0,0.66,Intersection,Traffic Signal including Transit,Major Arterial,60,905.0,50.0,Mixed Use,1996,709,672,Unknown,Unknown,Unknown,automobile,speeding,Major
3394058,18,weekday,Clear,Dusk,Dry,-0.9,0.51,Midblock,No Control,Minor Arterial,60,309.0,2.0,Residential,2249,1346,1237,45 to 64,Normal,Crossing with ROW and no control,automobile,speeding,Major
3439402,17,weekend,Clear,Daylight,Dry,28.5,0.53,Midblock,No Control,Major Arterial,60,354.0,30.0,Other Open Space,1771,1095,1022,45 to 64,Normal,Crossing with ROW and no control,automobile,speeding,Major
3603195,12,weekday,Clear,Daylight,Dry,24.0,0.78,Intersection,Traffic Signal including Transit,Major Arterial,60,284.0,58.0,Residential,455,224,205,Over 65,Normal,Crossing without ROW,transit vehicle,speeding,Fatal
3439427,17,weekday,Clear,Daylight,Dry,24.2,0.72,Intersection,Traffic Signal including Transit,Major Arterial,60,456.0,15.0,Residential,801,349,340,45 to 64,Normal,Crossing without ROW,automobile,speeding,Major
3455659,8,weekday,Clear,Daylight,Dry,18.1,0.62,Intersection,Traffic Signal including Transit,Major Arterial,60,659.0,168.0,Residential,727,355,337,30 to 44,Normal,Crossing with ROW,cyclist,speeding,Major
3455660,8,weekday,Clear,Daylight,Dry,18.1,0.62,Intersection,Traffic Signal including Transit,Major Arterial,60,659.0,168.0,Residential,727,355,337,Under 15,Normal,Crossing with ROW,cyclist,speeding,None
3551217,22,weekday,Clear,Dark,Dry,25.3,0.52,Midblock,No Control,Major Arterial,60,514.0,253.0,Mixed Use,1648,1274,980,30 to 44,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,speeding,Major
3448305,13,weekday,Clear,Daylight,Dry,26.7,0.63,Midblock,No Control,Major Arterial,60,542.0,831.0,Mixed Use,2382,1663,1312,30 to 44,Unknown,Crossing with ROW and no control,transit vehicle,speeding,Major
3551397,12,weekday,Clear,Daylight,Dry,23.4,0.53,Midblock,No Control,Minor Arterial,60,119.0,9.0,Parks,392,146,143,Under 15,Normal,Crossing without ROW,automobile,aggressive driving,Major
3439257,18,weekday,Clear,Daylight,Dry,25.9,0.49,Midblock,No Control,Major Arterial,60,257.0,16.0,Residential,630,375,364,Unknown,Unknown,Unknown,automobile,speeding,Major
3451668,14,weekday,Clear,Daylight,Dry,26.1,0.43,Midblock,No Control,Major Arterial,60,703.0,533.0,Mixed Use,929,658,580,Over 65,Other,Crossing without ROW,transit vehicle,speeding,Major
3603284,17,weekday,Clear,Daylight,Dry,22.3,0.81,Intersection,Other Traffic Control,Minor Arterial,60,194.0,13.0,Parks,456,205,186,Over 65,Distracted,Crossing without ROW,automobile,speeding,Major
3454351,8,weekday,Clear,Daylight,Dry,20.6,0.81,Midblock,No Control,Minor Arterial,60,160.0,2.0,Residential,982,414,385,30 to 44,Normal,Other,cyclist,aggressive driving,Major
3454795,16,weekday,Other,Daylight,Other,22.8,0.96,Intersection,Traffic Signal including Transit,Major Arterial,60,418.0,6.0,Residential,778,401,387,45 to 64,Unknown,Crossing with ROW,automobile,speeding,Major
3455127,13,weekday,Clear,Daylight,Dry,25.9,0.7,Intersection,Traffic Signal including Transit,Major Arterial,60,562.0,438.0,Regeneration,1629,1217,1098,30 to 44,Distracted,Crossing without ROW,transit vehicle,speeding,Major
3455834,13,weekday,Clear,Daylight,Dry,29.1,0.61,Midblock,No Control,Major Arterial,60,614.0,14.0,Residential,369,131,130,45 to 64,Impaired - Alcohol (BAC = Normal),Other,transit vehicle,speeding,Major
3445696,22,weekday,Clear,Dark,Dry,22.7,0.81,Intersection,Traffic Signal including Transit,Major Arterial,60,449.0,174.0,Residential,564,287,250,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Fatal
3468542,16,weekday,Clear,Daylight,Dry,24.9,0.79,Midblock,No Control,Minor Arterial,60,1265.0,7.0,Parks,895,215,204,45 to 64,Distracted,Other,automobile,speeding,Major
3447077,13,weekend,Rain,Daylight,Wet,19.9,0.75,Intersection,No Control,Major Arterial,60,461.0,13.0,Parks,2404,1189,1145,Over 65,Unknown,Crossing with ROW and no control,automobile,speeding,Fatal
3603374,16,weekday,Clear,Daylight,Dry,24.5,0.96,Midblock,No Control,Major Arterial,60,395.0,2.0,Other Open Space,598,234,226,15 to 29,Normal,Other,automobile,speeding,Fatal
3472745,7,weekend,Clear,Daylight,Dry,21.7,0.91,Intersection,Traffic Signal including Transit,Major Arterial,60,828.0,117.0,Residential,520,201,190,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3451601,6,weekday,Clear,Daylight,Dry,21.9,0.92,Intersection,Traffic Signal including Transit,Major Arterial,60,644.0,27.0,Residential,473,165,161,15 to 29,Distracted,Crossing without ROW,automobile,speeding,Major
3461342,14,weekday,Clear,Daylight,Dry,30.4,0.7,Intersection,No Control,Major Arterial,60,300.0,69.0,Residential,511,250,221,Under 15,Normal,Crossing without ROW,automobile,aggressive driving,Major
3451850,23,weekday,Clear,Dark,Dry,27.5,0.82,Intersection,Traffic Signal including Transit,Minor Arterial,60,359.0,5.0,Residential,845,267,255,30 to 44,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,speeding,Fatal
3452789,1,weekday,Rain,Dark,Wet,23.4,0.96,Midblock,No Control,Major Arterial,60,30.0,0.0,Mixed Use,457,279,265,15 to 29,Normal,Other,automobile,alcohol-related,Major
3452790,1,weekday,Rain,Dark,Wet,23.4,0.96,Midblock,No Control,Major Arterial,60,30.0,0.0,Mixed Use,457,279,265,15 to 29,Normal,Other,automobile,alcohol-related,Minor
3603408,1,weekday,Rain,Dark,Wet,23.4,0.96,Midblock,No Control,Major Arterial,60,381.0,40.0,Residential,450,180,169,45 to 64,Unknown,Crossing without ROW,automobile,speeding,Fatal
3603525,18,weekday,Clear,Daylight,Dry,21.9,0.94,Intersection,Traffic Signal including Transit,Major Arterial,60,638.0,110.0,Mixed Use,3850,2404,2141,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
3453439,0,weekend,Clear,Dark,Dry,20.5,0.69,Intersection,No Control,Local,50,81.0,10.0,Residential,689,273,261,15 to 29,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,speeding,Minor
3453440,0,weekend,Clear,Dark,Dry,20.5,0.69,Intersection,No Control,Local,50,81.0,10.0,Residential,689,273,261,15 to 29,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,speeding,Minor
3453441,0,weekend,Clear,Dark,Dry,20.5,0.69,Intersection,No Control,Local,50,81.0,10.0,Residential,689,273,261,15 to 29,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,speeding,Major
3453442,0,weekend,Clear,Dark,Dry,20.5,0.69,Intersection,No Control,Local,50,81.0,10.0,Residential,689,273,261,15 to 29,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,speeding,Major
3453446,2,weekend,Clear,Dark,Dry,21.4,0.79,Midblock,No Control,Major Arterial,60,513.0,5.0,Residential,589,269,244,15 to 29,Unknown,Crossing with ROW and no control,automobile,speeding,Major
3453965,21,weekday,Clear,Dark,Dry,22.9,0.6,Intersection,No Control,Major Arterial,60,423.0,19.0,Residential,686,289,276,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3463402,23,weekday,Clear,Dark,Dry,21.6,0.67,Midblock,No Control,Major Arterial,60,368.0,258.0,Regeneration,3878,3210,2492,15 to 29,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,aggressive driving,Major
3463594,9,weekday,Clear,Daylight,Dry,20.8,0.62,Midblock,No Control,Major Arterial,60,303.0,24.0,Residential,428,162,156,45 to 64,Normal,Other,automobile,speeding,Major
3454447,10,weekday,Clear,Daylight,Dry,21.8,0.52,Intersection,Traffic Signal including Transit,Major Arterial,60,627.0,61.0,Residential,659,226,209,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3622036,21,weekday,Clear,Dark,Dry,22.0,0.51,Intersection,No Control,Minor Arterial,60,232.0,131.0,Residential,694,393,361,30 to 44,Normal,Crossing with ROW and no control,automobile,speeding,Major
3551436,2,weekend,Clear,Dark,Dry,16.3,0.57,Intersection,Traffic Signal including Transit,Minor Arterial,60,372.0,279.0,Parks,880,635,543,15 to 29,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,speeding,Major
3468247,18,weekday,Clear,Daylight,Dry,24.2,0.5,Midblock,No Control,Local,50,294.0,19.0,Residential,1190,394,367,Under 15,Distracted,Other,automobile,speeding,Major
3458524,18,weekday,Clear,Dark,Dry,23.1,0.63,Midblock,No Control,Major Arterial,60,303.0,7.0,Parks,3438,2345,2182,45 to 64,Impaired - Alcohol (BAC = Normal),Other,automobile,speeding,Major
3467111,21,weekday,Clear,Dark,Dry,22.2,0.74,Midblock,No Control,Major Arterial,60,309.0,229.0,Regeneration,1629,1217,1098,30 to 44,Distracted,Crossing with ROW and no control,cyclist,speeding,Major
3469717,22,weekday,Clear,Dark,Dry,22.1,0.81,Intersection,No Control,Collector,50,213.0,4.0,Parks,724,267,257,15 to 29,Unknown,Other,automobile,aggressive driving,Major
3603481,13,weekend,Clear,Daylight,Dry,23.9,0.81,Intersection,No Control,Major Arterial,60,485.0,16.0,Residential,576,202,194,Under 15,Medical or Physical Disability,Crossing without ROW,automobile,speeding,Fatal
3603758,8,weekend,Clear,Daylight,Dry,11.1,0.89,Intersection,Pedestrian Crossover,Minor Arterial,60,168.0,82.0,Residential,641,334,308,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3485626,19,weekend,Rain,Dark,Wet,10.7,0.96,Intersection,Pedestrian Crossover,Minor Arterial,60,193.0,54.0,Residential,464,120,118,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
3490178,19,weekend,Rain,Daylight,Wet,10.7,0.96,Intersection,Traffic Signal including Transit,Major Arterial,60,582.0,37.0,Mixed Use,909,293,282,Over 65,Normal,Crossing with ROW,automobile,speeding,Major
3482262,9,weekday,Clear,Daylight,Dry,12.9,0.75,Midblock,Pedestrian Crossover,Collector,50,725.0,23.0,Mixed Use,1678,1069,1022,Over 65,Medical or Physical Disability,Crossing with ROW,automobile,aggressive driving,Major
3481449,13,weekday,Clear,Daylight,Dry,17.6,0.57,Midblock,No Control,Major Arterial,60,279.0,1.0,Residential,737,242,232,15 to 29,Normal,Other,automobile,speeding,Major
3502611,23,weekday,Clear,Dark,Dry,15.0,0.94,Intersection,No Control,Local,50,611.0,2.0,Residential,641,197,190,Unknown,Normal,Other,automobile,speeding,None
3491128,10,weekday,Clear,Daylight,Wet,16.2,0.99,Midblock,Pedestrian Crossover,Major Arterial,60,387.0,24.0,Residential,648,211,189,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3491115,17,weekday,Clear,Daylight,Dry,19.1,0.85,Midblock,No Control,Major Arterial,60,1111.0,24.0,Parks,2043,1202,1018,30 to 44,Distracted,Crossing without ROW,automobile,speeding,Major
3514725,12,weekday,Rain,Daylight,Wet,17.5,0.99,Intersection,No Control,Major Arterial,60,468.0,168.0,Residential,529,244,228,30 to 44,Impaired - Alcohol (BAC = Normal),Crossing with ROW and no control,truck,speeding,Major
3605399,12,weekday,Rain,Daylight,Wet,17.5,0.99,Intersection,Traffic Signal including Transit,Major Arterial,60,596.0,29.0,Residential,567,177,176,15 to 29,Unknown,Other,automobile,disability-related,Major
3605400,12,weekday,Rain,Daylight,Wet,17.5,0.99,Intersection,Traffic Signal including Transit,Major Arterial,60,596.0,29.0,Residential,567,177,176,15 to 29,Unknown,Other,automobile,disability-related,Major
3605401,12,weekday,Rain,Daylight,Wet,17.5,0.99,Intersection,Traffic Signal including Transit,Major Arterial,60,596.0,29.0,Residential,567,177,176,45 to 64,Unknown,Other,automobile,disability-related,Major
3501506,15,weekday,Clear,Daylight,Dry,15.2,0.96,Intersection,Traffic Signal including Transit,Major Arterial,60,466.0,66.0,Residential,592,233,212,Under 15,Unknown,Crossing with ROW,automobile,aggressive driving,Major
3492914,15,weekday,Clear,Daylight,Dry,12.6,0.43,Intersection,Traffic Signal including Transit,Major Arterial,60,810.0,441.0,Mixed Use,2382,1663,1312,45 to 64,Distracted,Crossing without ROW,automobile,speeding,Major
3493617,19,weekday,Clear,Dark,Dry,16.5,0.59,Intersection,Traffic Signal including Transit,Major Arterial,60,769.0,106.0,Mixed Use,1880,931,875,15 to 29,Normal,Other,automobile,aggressive driving,Major
3493778,14,weekday,Rain,Daylight,Wet,17.2,0.91,Midblock,No Control,Major Arterial,60,305.0,225.0,Residential,548,347,293,Unknown,Impaired - Alcohol (BAC = Normal),Other,transit vehicle,speeding,Minimal
3493779,14,weekday,Rain,Daylight,Wet,17.2,0.91,Midblock,No Control,Major Arterial,60,305.0,225.0,Residential,548,347,293,45 to 64,Impaired - Alcohol (BAC = Normal),Other,transit vehicle,speeding,Major
3489238,22,weekday,Rain,Dark,Wet,15.8,0.96,Intersection,Traffic Signal including Transit,Major Arterial,60,1111.0,24.0,Mixed Use,447,163,158,Unknown,Unknown,Unknown,automobile,speeding,Major
3603938,12,weekday,Clear,Daylight,Dry,7.7,0.48,Midblock,No Control,Major Arterial,60,320.0,12.0,Parks,1955,1267,1205,45 to 64,Unknown,Crossing with ROW and no control,truck,speeding,Major
3517715,22,weekend,Clear,Daylight,Dry,7.1,0.61,Intersection,Traffic Signal including Transit,Major Arterial,60,704.0,39.0,Residential,466,179,170,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
3604209,7,weekday,Clear,Daylight,Dry,5.3,0.91,Midblock,No Control,Minor Arterial,60,503.0,14.0,Parks,604,211,197,Over 65,Normal,Crossing with ROW and no control,automobile,aggressive driving,Major
3489727,20,weekday,Rain,Dark,Wet,12.9,1.0,Intersection,Traffic Signal including Transit,Major Arterial,60,507.0,29.0,Residential,716,281,261,Over 65,Normal,Crossing without ROW,automobile,speeding,Major
3604825,6,weekday,Clear,Dawn,Dry,12.9,0.81,Intersection,Traffic Signal including Transit,Major Arterial,60,775.0,39.0,Natural areas,576,318,298,30 to 44,Normal,Other,automobile,aggressive driving,Major
3604110,19,weekend,Clear,Dark,Dry,9.3,0.81,Intersection,Other Traffic Control,Major Arterial,60,295.0,39.0,Residential,528,244,220,45 to 64,Normal,Other,automobile,speeding,Major
3498828,2,weekday,Clear,Dark,Dry,3.0,0.76,Intersection,Traffic Signal including Transit,Major Arterial,60,342.0,112.0,Parks,1049,746,623,45 to 64,Distracted,Crossing without ROW,automobile,speeding,Major
3505271,22,weekday,Rain,Dark,Wet,6.1,0.97,Intersection,No Control,Major Arterial,60,500.0,150.0,Mixed Use,1212,1065,760,15 to 29,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,speeding,Major
3604304,20,weekend,Rain,Dark,Wet,5.2,0.87,Midblock,No Control,Major Arterial,60,884.0,28.0,Natural areas,1956,1076,1006,30 to 44,Normal,Crossing with ROW and no control,automobile,speeding,Major
3506007,22,weekend,Rain,Dark,Wet,4.2,0.91,Intersection,Traffic Signal including Transit,Major Arterial,60,423.0,19.0,Residential,652,187,178,15 to 29,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,speeding,Major
3551773,0,weekend,Rain,Dark,Wet,4.6,0.83,Intersection,Traffic Signal including Transit,Major Arterial,60,416.0,11.0,Parks,515,127,122,15 to 29,Unknown,Crossing without ROW,automobile,speeding,Fatal
3499087,2,weekend,Rain,Dark,Wet,3.2,0.93,Intersection,Traffic Signal including Transit,Major Arterial,60,256.0,150.0,Parks,1648,1274,980,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
3498862,13,weekday,Clear,Daylight,Dry,13.1,0.49,Intersection,Traffic Signal including Transit,Major Arterial,60,1168.0,102.0,Residential,1604,770,735,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3508265,16,weekday,Clear,Daylight,Dry,3.6,0.58,Intersection,Traffic Signal including Transit,Major Arterial,60,677.0,13.0,Residential,573,182,173,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
3551797,10,weekday,Clear,Daylight,Dry,3.6,0.68,Intersection,Traffic Signal including Transit,Major Arterial,60,741.0,14.0,Other Open Space,688,235,226,45 to 64,Normal,Other,automobile,speeding,Major
3501860,19,weekday,Rain,Dark,Wet,7.8,0.97,Intersection,Traffic Signal including Transit,Major Arterial,60,543.0,11.0,Mixed Use,1678,1042,1003,Over 65,Normal,Crossing without ROW,automobile,speeding,Major
3503245,19,weekday,Clear,Dark,Dry,6.5,0.78,Intersection,Other Traffic Control,Minor Arterial,60,224.0,17.0,Residential,1001,369,348,45 to 64,Distracted,Crossing without ROW,automobile,speeding,Major
3511398,20,weekday,Clear,Dark,Dry,6.7,0.77,Intersection,Other Traffic Control,Collector,50,172.0,9.0,Regeneration,599,253,235,15 to 29,Normal,Crossing with ROW and no control,automobile,aggressive driving,Major
3533620,20,weekend,Clear,Dark,Dry,4.7,0.78,Midblock,No Control,Major Arterial,60,738.0,7.0,Residential,561,127,118,45 to 64,Distracted,Crossing with ROW and no control,automobile,speeding,Major
3506135,2,weekday,Rain,Dark,Wet,7.3,0.91,Intersection,Traffic Signal including Transit,Major Arterial,60,1078.0,112.0,Mixed Use,662,203,197,45 to 64,Normal,Crossing without ROW,automobile,speeding,Major
3534192,0,weekend,Clear,Dark,Dry,3.2,0.79,Intersection,Other Traffic Control,Major Arterial,60,428.0,258.0,Mixed Use,644,471,415,15 to 29,Distracted,Crossing without ROW,automobile,speeding,Major
3518719,17,weekend,Clear,Dark,Dry,2.0,0.73,Midblock,No Control,Collector,50,179.0,11.0,Residential,732,219,216,15 to 29,Distracted,Crossing without ROW,automobile,speeding,Major
3519704,16,weekday,Clear,Daylight,Dry,5.6,0.81,Intersection,Pedestrian Crossover,Minor Arterial,60,220.0,38.0,Parks,571,307,291,30 to 44,Medical or Physical Disability,Crossing with ROW,cyclist,aggressive driving,Major
3459516,23,weekend,Clear,Dark,Dry,21.3,0.92,Intersection,Traffic Signal including Transit,Minor Arterial,60,305.0,54.0,Parks,776,335,319,45 to 64,Impaired - Alcohol (BAC = Normal),Crossing with ROW,automobile,aggressive driving,Fatal
3469963,8,weekday,Clear,Daylight,Dry,19.0,0.7,Intersection,Traffic Signal including Transit,Major Arterial,60,454.0,21.0,Parks,649,184,183,Under 15,Normal,Crossing without ROW,automobile,speeding,Major
3603477,10,weekday,Clear,Daylight,Other,23.2,0.44,Midblock,No Control,Major Arterial,60,252.0,0.0,Mixed Use,2007,988,903,15 to 29,Distracted,Other,automobile,speeding,Major
4197284,7,weekday,Clear,Daylight,Dry,21.1,0.66,Midblock,No Control,Major Arterial,60,443.0,8.0,Other Open Space,762,292,276,Over 65,Normal,Crossing with ROW and no control,automobile,speeding,Major
3459529,11,weekday,Clear,Daylight,Dry,23.5,0.56,Intersection,Traffic Signal including Transit,Major Arterial,60,1123.0,78.0,Natural areas,897,266,256,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3474498,10,weekday,Clear,Daylight,Dry,25.2,0.64,Intersection,Other Traffic Control,Major Arterial,60,278.0,114.0,Residential,310,161,149,Over 65,Distracted,Crossing with ROW and no control,automobile,speeding,Major
3459978,20,weekday,Clear,Dark,Dry,22.5,0.5,Intersection,Traffic Signal including Transit,Major Arterial,60,534.0,58.0,Mixed Use,677,282,271,Over 65,Normal,Other,automobile,aggressive driving,Major
3470814,6,weekday,Clear,Dawn,Dry,16.3,0.83,Midblock,No Control,Major Arterial,60,325.0,509.0,Mixed Use,548,381,342,30 to 44,Normal,Other,automobile,disability-related,Major
3461926,21,weekday,Clear,Dark,Dry,19.6,0.82,Intersection,Traffic Signal including Transit,Major Arterial,60,858.0,39.0,Residential,610,173,159,Unknown,Unknown,Unknown,automobile,speeding,Major
